,country,Year,imported_coffee_tonnes,exported_coffee_tonnes
0,Brazil,1973,2564,2253416
1,Brazil,1974,2872,2452565
2,Brazil,1976,8688,5234459
3,Brazil,1977,8517,8705525
4,Brazil,1979,20268,6618244
5,Brazil,1986,3841,8144000
6,Brazil,1991,7397,2450896
7,Brazil,1992,1593,1852504
8,Brazil,1993,1182,2144426
9,Brazil,1994,50411,4943756
10,Brazil,1995,31687,5302491
11,Brazil,1996,6713,4291252
12,Brazil,1997,12582,6135695
13,Brazil,1998,36949,4547245
14,Brazil,1999,42542,3405128
15,Brazil,2000,23968,3131905
16,Brazil,2001,43883,1873532
17,Brazil,2002,39312,1497581
18,Brazil,2003,28185,1856981
19,Brazil,2004,32670,2413939
20,Brazil,2005,31687,3624219
21,Brazil,2006,39221,3868717
22,Brazil,2007,39758,4423058
23,Brazil,2008,100096,5138986
24,Brazil,2009,130064,4472302
25,Brazil,2010,137961,5624030
26,Brazil,2011,160563,8677056
27,Brazil,2012,93215,7395879
28,Brazil,2013,61301,5244468
29,Brazil,2014,62247,5907203
30,Brazil,2015,52144,5381295
31,Brazil,2016,56841,5159684
32,Brazil,2017,60771,5426520
33,Brazil,2018,45365,4637586
34,Brazil,2019,63622,3984195
35,Brazil,2020,36056,4074787
