,year,brazil_production_tonnes,notbr_production_tonnes,total_production_tonnes,brazilian_participation_%,nonbrazilian_participation_%
0,1961,2228704,1804670,4033374,55.256566834615384,44.743433165384616
1,1962,2190303,1962300,4152603,52.74530216348637,47.25469783651363
2,1963,1650527,1958290,3608817,45.73595724028123,54.26404275971877
3,1964,1042013,2076920,3118933,33.409278108891726,66.59072189110827
4,1965,2294047,2123357,4417404,51.93201708514775,48.06798291485225
5,1966,1202868,2207364,3410232,35.272321648497815,64.72767835150219
6,1967,1507500,2307368,3814868,39.51643936303956,60.48356063696044
7,1968,1057700,2218281,3275981,32.28651204021025,67.71348795978976
8,1969,1283500,2372994,3656494,35.10193097540978,64.89806902459023
9,1970,754800,2401204,3156004,23.91631949769392,76.08368050230608
10,1971,1551462,2436986,3988448,38.89888999430355,61.10111000569645
11,1972,1495705,2407464,3903169,38.32027257851249,61.67972742148751
12,1973,872897,2567360,3440257,25.373017190285495,74.6269828097145
13,1974,1615309,2555025,4170334,38.733324477128214,61.266675522871786
14,1975,1272298,2602194,3874492,32.83780170406856,67.16219829593145
15,1976,375985,2394133,2770118,13.572887508763165,86.42711249123684
16,1977,975385,2657006,3632391,26.852423100927187,73.14757689907282
17,1978,1267661,2779918,4047579,31.318993403217085,68.68100659678292
18,1979,1332772,2897212,4229984,31.507731471324714,68.49226852867528
19,1980,1061195,3045180,4106375,25.84262275121001,74.15737724878998
20,1981,2032210,3161117,5193327,39.13117737434982,60.86882262565018
21,1982,957931,3216447,4174378,22.947873910795813,77.0521260892042
22,1983,1671588,3196478,4868066,34.33782532940186,65.66217467059813
23,1984,1420281,3268089,4688370,30.293705488261377,69.70629451173862
24,1985,1910646,3193958,5104604,37.42985743850062,62.57014256149938
25,1986,1041406,3422303,4463709,23.330508328387893,76.6694916716121
26,1987,2202708,3395952,5598660,39.343485762664635,60.656514237335365
27,1988,1348014,3573641,4921655,27.389445217106847,72.61055478289315
28,1989,1532335,3610742,5143077,29.79412907875966,70.20587092124033
29,1990,1464856,3718375,5183231,28.261445418890265,71.73855458110974
30,1991,1520382,3745361,5265743,28.87307641105918,71.12692358894083
31,1992,1294373,3907132,5201505,24.88458628800703,75.11541371199297
32,1993,1278759,3713343,4992102,25.615642468843784,74.38435753115621
33,1994,1307289,3819590,5126879,25.49872934391469,74.50127065608531
34,1995,930135,3898834,4828969,19.261564942744506,80.73843505725549
35,1996,1369196,4045876,5415072,25.284908492444792,74.71509150755521
36,1997,1228513,3853981,5082494,24.17145991711943,75.82854008288056
37,1998,1689366,3942759,5632125,29.995179439376788,70.00482056062322
38,1999,1631852,3971410,5603262,29.1232499925936,70.8767500074064
39,2000,1903562,4092615,5996177,31.746260992629136,68.25373900737087
40,2001,1819569,4099448,5919017,30.74106730898053,69.25893269101947
41,2002,2610524,4120996,6731520,38.78060230081765,61.21939769918235
42,2003,1987074,3818306,5805380,34.22814699468424,65.77185300531576
43,2004,2465710,4030390,6496100,37.95677406443866,62.04322593556134
44,2005,2140169,3833424,5973593,35.827164656179285,64.17283534382071
45,2006,2573368,4122779,6696147,38.43057806227969,61.56942193772031
46,2007,2249011,4138356,6387367,35.210298703675555,64.78970129632445
47,2008,2796927,4156937,6953864,40.22119213145382,59.77880786854618
48,2009,2440056,3814817,6254873,39.0104803087129,60.9895196912871
49,2010,2907265,4057668,6964933,41.74146398823937,58.25853601176063
50,2011,2700540,4018013,6718553,40.195262283411324,59.804737716588676
51,2012,3037534,4029118,7066652,42.984060910315094,57.015939089684906
52,2013,2964538,4115062,7079600,41.87437143341432,58.12562856658568
53,2014,2804070,4074578,6878648,40.76484216084324,59.23515783915676
54,2015,2647504,4251640,6899144,38.3743838366035,61.6256161633965
55,2016,3024466,4344761,7369227,41.04183518841257,58.95816481158743
56,2017,2684508,4458196,7142704,37.583917799197614,62.416082200802386
57,2018,3556638,4576009,8132647,43.73284614468081,56.26715385531919
