Domain,Area,Element,Item,Year,Value
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","1961","1353678"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","1962","1269100"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","1963","1240104"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","1964","1643725"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","1965","1692657"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","1966","1467810"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","1967","1361590"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","1968","1356892"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","1969","1406644"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","1970","1893207"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","1971","1449182"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","1972","1827709"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","1973","2253416"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","1974","2452565"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","1975","2120244"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","1976","5234459"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","1977","8705525"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","1978","6078879"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","1979","6618244"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","1980","6149016"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","1981","3565050"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","1982","4058655"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","1983","4327474"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","1984","4821683"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","1985","4447451"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","1986","8144000"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","1987","3849119"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","1988","4310192"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","1989","3312020"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","1990","2515945"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","1991","2450896"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","1992","1852504"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","1993","2144426"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","1994","4943756"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","1995","5302491"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","1996","4291252"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","1997","6135695"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","1998","4547245"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","1999","3405128"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","2000","3131905"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","2001","1873532"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","2002","1497581"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","2003","1856981"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","2004","2413939"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","2005","3624219"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","2006","3868717"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","2007","4423058"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","2008","5138986"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","2009","4472302"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","2010","5624030"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","2011","8677056"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","2012","7395879"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","2013","5244468"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","2014","5907203"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","2015","5381295"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","2016","5159684"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","2017","5426520"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","2018","4637586"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","2019","3984195"
"Trade Indices","Brazil","Export Value Base Quantity","Coffee, green","2020","4074787"
