Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","1961","tonnes","0"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","1962","tonnes","0"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","1963","tonnes","0"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","1964","tonnes","0"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","1965","tonnes","0"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","1966","tonnes","0"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","1967","tonnes","0"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","1968","tonnes","0"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","1969","tonnes","0"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","1970","tonnes","0"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","1971","tonnes","0"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","1972","tonnes","0"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","1973","tonnes","62"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","1974","tonnes","0"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","1975","tonnes","0"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","1976","tonnes","0"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","1977","tonnes","0"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","1978","tonnes","0"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","1979","tonnes","0"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","1980","tonnes","0"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","1981","tonnes","0"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","1982","tonnes","0"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","1983","tonnes","8"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","1984","tonnes","0"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","1985","tonnes","0"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","1986","tonnes","0"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","1987","tonnes","0"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","1988","tonnes","2"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","1989","tonnes","3"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","1990","tonnes","14"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","1991","tonnes","5"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","1992","tonnes","8"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","1993","tonnes","4"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","1994","tonnes","9"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","1995","tonnes","303"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","1996","tonnes","127"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","1997","tonnes","2342"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","1998","tonnes","84"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","1999","tonnes","16"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","2000","tonnes","23"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","2001","tonnes","59"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","2002","tonnes","77"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","2003","tonnes","123"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","2004","tonnes","66"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","2005","tonnes","69"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","2006","tonnes","52"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","2007","tonnes","62"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","2008","tonnes","68"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","2009","tonnes","298"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","2010","tonnes","299"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","2011","tonnes","380"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","2012","tonnes","444"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","2013","tonnes","681"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","2014","tonnes","1017"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","2015","tonnes","1578"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","2016","tonnes","821"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","2017","tonnes","830"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","2018","tonnes","886"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","2019","tonnes","722"
"Crops and livestock products","Brazil","Import Quantity","Coffee, extracts","2020","tonnes","660"
"Crops and livestock products","Brazil","Import Value","Coffee, extracts","1961","1000 US$","0"
"Crops and livestock products","Brazil","Import Value","Coffee, extracts","1962","1000 US$","0"
"Crops and livestock products","Brazil","Import Value","Coffee, extracts","1963","1000 US$","0"
"Crops and livestock products","Brazil","Import Value","Coffee, extracts","1964","1000 US$","0"
"Crops and livestock products","Brazil","Import Value","Coffee, extracts","1965","1000 US$","0"
"Crops and livestock products","Brazil","Import Value","Coffee, extracts","1966","1000 US$","0"
"Crops and livestock products","Brazil","Import Value","Coffee, extracts","1967","1000 US$","0"
"Crops and livestock products","Brazil","Import Value","Coffee, extracts","1968","1000 US$","0"
"Crops and livestock products","Brazil","Import Value","Coffee, extracts","1969","1000 US$","0"
"Crops and livestock products","Brazil","Import Value","Coffee, extracts","1970","1000 US$","0"
"Crops and livestock products","Brazil","Import Value","Coffee, extracts","1971","1000 US$","0"
"Crops and livestock products","Brazil","Import Value","Coffee, extracts","1972","1000 US$","0"
"Crops and livestock products","Brazil","Import Value","Coffee, extracts","1973","1000 US$","182"
"Crops and livestock products","Brazil","Import Value","Coffee, extracts","1974","1000 US$","0"
