Domain,Area,Element,Item,Year,Value
"Trade Indices","Brazil","Import Value Base Period Quantity","Coffee, green","1973","2564"
"Trade Indices","Brazil","Import Value Base Period Quantity","Coffee, green","1974","2872"
"Trade Indices","Brazil","Import Value Base Period Quantity","Coffee, green","1976","8688"
"Trade Indices","Brazil","Import Value Base Period Quantity","Coffee, green","1977","8517"
"Trade Indices","Brazil","Import Value Base Period Quantity","Coffee, green","1979","20268"
"Trade Indices","Brazil","Import Value Base Period Quantity","Coffee, green","1986","3841"
"Trade Indices","Brazil","Import Value Base Period Quantity","Coffee, green","1991","7397"
"Trade Indices","Brazil","Import Value Base Period Quantity","Coffee, green","1992","1593"
"Trade Indices","Brazil","Import Value Base Period Quantity","Coffee, green","1993","1182"
"Trade Indices","Brazil","Import Value Base Period Quantity","Coffee, green","1994","50411"
"Trade Indices","Brazil","Import Value Base Period Quantity","Coffee, green","1995","31687"
"Trade Indices","Brazil","Import Value Base Period Quantity","Coffee, green","1996","6713"
"Trade Indices","Brazil","Import Value Base Period Quantity","Coffee, green","1997","12582"
"Trade Indices","Brazil","Import Value Base Period Quantity","Coffee, green","1998","36949"
"Trade Indices","Brazil","Import Value Base Period Quantity","Coffee, green","1999","42542"
"Trade Indices","Brazil","Import Value Base Period Quantity","Coffee, green","2000","23968"
"Trade Indices","Brazil","Import Value Base Period Quantity","Coffee, green","2001","43883"
"Trade Indices","Brazil","Import Value Base Period Quantity","Coffee, green","2002","39312"
"Trade Indices","Brazil","Import Value Base Period Quantity","Coffee, green","2003","28185"
"Trade Indices","Brazil","Import Value Base Period Quantity","Coffee, green","2004","32670"
"Trade Indices","Brazil","Import Value Base Period Quantity","Coffee, green","2005","31687"
"Trade Indices","Brazil","Import Value Base Period Quantity","Coffee, green","2006","39221"
"Trade Indices","Brazil","Import Value Base Period Quantity","Coffee, green","2007","39758"
"Trade Indices","Brazil","Import Value Base Period Quantity","Coffee, green","2008","100096"
"Trade Indices","Brazil","Import Value Base Period Quantity","Coffee, green","2009","130064"
"Trade Indices","Brazil","Import Value Base Period Quantity","Coffee, green","2010","137961"
"Trade Indices","Brazil","Import Value Base Period Quantity","Coffee, green","2011","160563"
"Trade Indices","Brazil","Import Value Base Period Quantity","Coffee, green","2012","93215"
"Trade Indices","Brazil","Import Value Base Period Quantity","Coffee, green","2013","61301"
"Trade Indices","Brazil","Import Value Base Period Quantity","Coffee, green","2014","62247"
"Trade Indices","Brazil","Import Value Base Period Quantity","Coffee, green","2015","52144"
"Trade Indices","Brazil","Import Value Base Period Quantity","Coffee, green","2016","56841"
"Trade Indices","Brazil","Import Value Base Period Quantity","Coffee, green","2017","60771"
"Trade Indices","Brazil","Import Value Base Period Quantity","Coffee, green","2018","45365"
"Trade Indices","Brazil","Import Value Base Period Quantity","Coffee, green","2019","63622"
"Trade Indices","Brazil","Import Value Base Period Quantity","Coffee, green","2020","36056"
