Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Brazil","Export Quantity","Coffee, green","1961","tonnes","1018234"
"Crops and livestock products","Brazil","Export Quantity","Coffee, green","1962","tonnes","982565"
"Crops and livestock products","Brazil","Export Quantity","Coffee, green","1963","tonnes","1170784"
"Crops and livestock products","Brazil","Export Quantity","Coffee, green","1964","tonnes","896774"
"Crops and livestock products","Brazil","Export Quantity","Coffee, green","1965","tonnes","808931"
"Crops and livestock products","Brazil","Export Quantity","Coffee, green","1966","tonnes","1009909"
"Crops and livestock products","Brazil","Export Quantity","Coffee, green","1967","tonnes","1004250"
"Crops and livestock products","Brazil","Export Quantity","Coffee, green","1968","tonnes","1107465"
"Crops and livestock products","Brazil","Export Quantity","Coffee, green","1969","tonnes","1121375"
"Crops and livestock products","Brazil","Export Quantity","Coffee, green","1970","tonnes","962629"
"Crops and livestock products","Brazil","Export Quantity","Coffee, green","1971","tonnes","1034266"
"Crops and livestock products","Brazil","Export Quantity","Coffee, green","1972","tonnes","1050156"
"Crops and livestock products","Brazil","Export Quantity","Coffee, green","1973","tonnes","1071377"
"Crops and livestock products","Brazil","Export Quantity","Coffee, green","1974","tonnes","683784"
"Crops and livestock products","Brazil","Export Quantity","Coffee, green","1975","tonnes","781990"
"Crops and livestock products","Brazil","Export Quantity","Coffee, green","1976","tonnes","805367"
"Crops and livestock products","Brazil","Export Quantity","Coffee, green","1977","tonnes","512391"
"Crops and livestock products","Brazil","Export Quantity","Coffee, green","1978","tonnes","621300"
"Crops and livestock products","Brazil","Export Quantity","Coffee, green","1979","tonnes","562196"
"Crops and livestock products","Brazil","Export Quantity","Coffee, green","1980","tonnes","784465"
"Crops and livestock products","Brazil","Export Quantity","Coffee, green","1981","tonnes","825443"
"Crops and livestock products","Brazil","Export Quantity","Coffee, green","1982","tonnes","888023"
"Crops and livestock products","Brazil","Export Quantity","Coffee, green","1983","tonnes","939671"
"Crops and livestock products","Brazil","Export Quantity","Coffee, green","1984","tonnes","1031895"
"Crops and livestock products","Brazil","Export Quantity","Coffee, green","1985","tonnes","1033611"
"Crops and livestock products","Brazil","Export Quantity","Coffee, green","1986","tonnes","477907"
"Crops and livestock products","Brazil","Export Quantity","Coffee, green","1987","tonnes","987609"
"Crops and livestock products","Brazil","Export Quantity","Coffee, green","1988","tonnes","904357"
"Crops and livestock products","Brazil","Export Quantity","Coffee, green","1989","tonnes","943374"
"Crops and livestock products","Brazil","Export Quantity","Coffee, green","1990","tonnes","853230"
"Crops and livestock products","Brazil","Export Quantity","Coffee, green","1991","tonnes","1094694"
"Crops and livestock products","Brazil","Export Quantity","Coffee, green","1992","tonnes","1017642"
"Crops and livestock products","Brazil","Export Quantity","Coffee, green","1993","tonnes","964153"
"Crops and livestock products","Brazil","Export Quantity","Coffee, green","1994","tonnes","871018"
"Crops and livestock products","Brazil","Export Quantity","Coffee, green","1995","tonnes","721305"
"Crops and livestock products","Brazil","Export Quantity","Coffee, green","1996","tonnes","777909"
"Crops and livestock products","Brazil","Export Quantity","Coffee, green","1997","tonnes","868439"
"Crops and livestock products","Brazil","Export Quantity","Coffee, green","1998","tonnes","995212"
"Crops and livestock products","Brazil","Export Quantity","Coffee, green","1999","tonnes","1271772"
"Crops and livestock products","Brazil","Export Quantity","Coffee, green","2000","tonnes","967042"
"Crops and livestock products","Brazil","Export Quantity","Coffee, green","2001","tonnes","1252217"
