"","","","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"","","","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value"
"Angola","Production","Coffee, green","168600","185000","168300","198200","205000","225700","235200","198000","215000","204000","228000","225000","210000","224772","180000","57480","57060","34320","17340","43260","20640","17400","13000","15000","12000","14800","8700","11000","10000","5000","5000","5000","4620","2160","3300","2820","3840","5100","3300","4260","3300","1260","2040","1980","3500","5000","11523","4000","11982","9951","10192","11740","12550","15009","15000","14680","14896","14859","14811","14855"
"Belize","Production","Coffee, green","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93","70","165","229","227","229","231","54","95","45","90","105","90","91","89","87","88","91","89","88","89","87","85"
"Benin","Production","Coffee, green","2090","1730","1002","1065","891","1041","1086","511","2268","1940","2229","2724","1341","161","477","599","610","185","31","321","585","1629","1000","3000","700","1100","1900","2700","800","120","180","200","300","200","175","165","161","154","151","143","150","100","60","86","82","60","60","70","67","60","65","68","70","57","49","59","55","54","56","55"
"Bolivia (Plurinational State of)","Production","Coffee, green","4400","4400","4400","7400","4700","7700","8200","9500","10100","11200","12400","13000","13400","13870","14900","14664","13372","13424","15700","20540","21325","21179","21141","21566","23361","24153","25200","25450","26740","24378","14071","15179","13153","19216","20323","22015","22608","22532","26931","27696","24086","24513","24700","24546","24976","25272","27012","27305","28270","27327","27596","28137","29455","20496","20954","21427","21181","22121","24841","23401"
"Brazil","Production","Coffee, green","2228704","2190303","1650527","1042013","2294047","1202868","1507500","1057700","1283500","754800","1551462","1495705","872897","1615309","1272298","375985","975385","1267661","1332772","1061195","2032210","957931","1671588","1420281","1910646","1041406","2202708","1348014","1532335","1464856","1520382","1294373","1278759","1307289","930135","1369196","1228513","1689366","1631852","1903562","1819569","2610524","1987074","2465710","2140169","2573368","2249011","2796927","2440056","2907265","2700540","3037534","2964538","2804070","2647504","3024466","2684508","3552729","3011745","3700231"
"Burundi","Production","Coffee, green","14000","13001","5777","17737","12831","14071","18682","16539","14551","22084","25051","19403","21395","28140","16924","21428","17030","22783","27728","18894","43824","20221","35954","27005","32493","31290","37338","35247","31400","32694","34204","37215","22991","41293","25516","26875","19991","16937","29130","67439","70980","182182","35682","204509","34828","149460","31964","100475","20517","89960","41960","26340","22625","10405","18367","13624","16340","14216","14059","15900"
"Cabo Verde","Production","Coffee, green","52","22","40","39","45","106","121","82","94","114","185","76","8","71","103","168","53","100","150","50","100","50","50","50","30","44","34","50","100","50","10","0","","","","","","","","","","","","","","","","","","","62","88","62","52","52","68","47","46","40","48"
"Cambodia","Production","Coffee, green","240","350","400","350","400","480","433","350","460","600","600","470","124","100","100","90","85","72","50","70","68","70","80","90","100","120","130","140","150","160","170","180","198","190","200","250","280","290","300","300","300","300","305","310","320","300","320","330","350","362","349","350","353","357","370","360","362","364","362","363"
"Cameroon","Production","Coffee, green","44700","45000","53600","59100","74100","63300","79600","81700","81815","92993","94790","96165","93913","104442","92488","79599","86448","107993","101166","112207","109286","128237","63700","137900","100020","132000","82560","119400","115700","100980","115080","76200","68417","73743","74000","104121","63600","112532","98000","86200","70500","41000","48000","54000","60000","62300","47792","50687","48123","66584","26322","38127","41800","38082","35938","35600","36540","36026","36055","36207"
