Entity,Year,production_tonnes
Angola,1961,168600
Angola,1962,185000
Angola,1963,168300
Angola,1964,198200
Angola,1965,205000
Angola,1966,225700
Angola,1967,235200
Angola,1968,198000
Angola,1969,215000
Angola,1970,204000
Angola,1971,228000
Angola,1972,225000
Angola,1973,210000
Angola,1974,224772
Angola,1975,180000
Angola,1976,57480
Angola,1977,57060
Angola,1978,34320
Angola,1979,17340
Angola,1980,43260
Angola,1981,20640
Angola,1982,17400
Angola,1983,13000
Angola,1984,15000
Angola,1985,12000
Angola,1986,14800
Angola,1987,8700
Angola,1988,11000
Angola,1989,10000
Angola,1990,5000
Angola,1991,5000
Angola,1992,5000
Angola,1993,4620
Angola,1994,2160
Angola,1995,3300
Angola,1996,2820
Angola,1997,3840
Angola,1998,5100
Angola,1999,3300
Angola,2000,4260
Angola,2001,3300
Angola,2002,1260
Angola,2003,2040
Angola,2004,1980
Angola,2005,3500
Angola,2006,5000
Angola,2007,11523
Angola,2008,4000
Angola,2009,11982
Angola,2010,9951
Angola,2011,10192
Angola,2012,11740
Angola,2013,12550
Angola,2014,15009
Angola,2015,15000
Angola,2016,14709
Angola,2017,15114
Angola,2018,16079
Belize,1998,93
Belize,1999,70
Belize,2000,165
Belize,2001,229
Belize,2002,227
Belize,2003,229
Belize,2004,231
Belize,2005,54
Belize,2006,95
Belize,2007,45
Belize,2008,90
Belize,2009,105
Belize,2010,90
Belize,2011,91
Belize,2012,89
Belize,2013,87
Belize,2014,89
Belize,2015,93
Belize,2016,94
Belize,2017,92
Belize,2018,90
Benin,1961,2090
Benin,1962,1730
Benin,1963,1002
Benin,1964,1065
Benin,1965,891
Benin,1966,1041
Benin,1967,1086
Benin,1968,511
Benin,1969,2268
Benin,1970,1940
Benin,1971,2229
Benin,1972,2724
Benin,1973,1341
Benin,1974,161
Benin,1975,477
Benin,1976,599
Benin,1977,610
Benin,1978,185
Benin,1979,31
Benin,1980,321
Benin,1981,585
Benin,1982,1629
Benin,1983,1000
Benin,1984,3000
Benin,1985,700
Benin,1986,1100
Benin,1987,1900
Benin,1988,2700
Benin,1989,800
Benin,1990,120
Benin,1991,180
Benin,1992,200
Benin,1993,300
Benin,1994,200
Benin,1995,175
Benin,1996,165
Benin,1997,161
Benin,1998,154
Benin,1999,151
Benin,2000,143
Benin,2001,150
Benin,2002,100
Benin,2003,60
Benin,2004,86
Benin,2005,82
Benin,2006,60
Benin,2007,60
Benin,2008,70
Benin,2009,67
Benin,2010,60
Benin,2011,65
Benin,2012,68
Benin,2013,70
Benin,2014,62
Benin,2015,51
Benin,2016,48
Benin,2017,54
Benin,2018,51
Bolivia,1961,4400
Bolivia,1962,4400
Bolivia,1963,4400
Bolivia,1964,7400
Bolivia,1965,4700
Bolivia,1966,7700
Bolivia,1967,8200
Bolivia,1968,9500
Bolivia,1969,10100
Bolivia,1970,11200
Bolivia,1971,12400
Bolivia,1972,13000
Bolivia,1973,13400
Bolivia,1974,13870
Bolivia,1975,14900
Bolivia,1976,14664
Bolivia,1977,13372
Bolivia,1978,13424
Bolivia,1979,15700
Bolivia,1980,20540
Bolivia,1981,21325
Bolivia,1982,21179
Bolivia,1983,21141
Bolivia,1984,21566
Bolivia,1985,23361
Bolivia,1986,24153
Bolivia,1987,25200
Bolivia,1988,25450
Bolivia,1989,26740
Bolivia,1990,24378
Bolivia,1991,14071
Bolivia,1992,15179
Bolivia,1993,13153
Bolivia,1994,19216
Bolivia,1995,20323
Bolivia,1996,22015
Bolivia,1997,22608
Bolivia,1998,22532
Bolivia,1999,26931
Bolivia,2000,27696
Bolivia,2001,24086
Bolivia,2002,24513
Bolivia,2003,24700
Bolivia,2004,24546
Bolivia,2005,24976
Bolivia,2006,25272
Bolivia,2007,27012
Bolivia,2008,27305
Bolivia,2009,28270
Bolivia,2010,27327
Bolivia,2011,27596
Bolivia,2012,28137
Bolivia,2013,29455
Bolivia,2014,20496
Bolivia,2015,20954
Bolivia,2016,21427
Bolivia,2017,21181
Bolivia,2018,22121
Brazil,1961,2228704
Brazil,1962,2190303
Brazil,1963,1650527
Brazil,1964,1042013
Brazil,1965,2294047
Brazil,1966,1202868
Brazil,1967,1507500
Brazil,1968,1057700
Brazil,1969,1283500
Brazil,1970,754800
Brazil,1971,1551462
Brazil,1972,1495705
Brazil,1973,872897
Brazil,1974,1615309
Brazil,1975,1272298
Brazil,1976,375985
Brazil,1977,975385
Brazil,1978,1267661
Brazil,1979,1332772
Brazil,1980,1061195
Brazil,1981,2032210
Brazil,1982,957931
Brazil,1983,1671588
Brazil,1984,1420281
Brazil,1985,1910646
Brazil,1986,1041406
Brazil,1987,2202708
Brazil,1988,1348014
Brazil,1989,1532335
Brazil,1990,1464856
Brazil,1991,1520382
Brazil,1992,1294373
Brazil,1993,1278759
Brazil,1994,1307289
Brazil,1995,930135
Brazil,1996,1369196
Brazil,1997,1228513
Brazil,1998,1689366
Brazil,1999,1631852
Brazil,2000,1903562
Brazil,2001,1819569
Brazil,2002,2610524
Brazil,2003,1987074
Brazil,2004,2465710
Brazil,2005,2140169
Brazil,2006,2573368
Brazil,2007,2249011
Brazil,2008,2796927
Brazil,2009,2440056
Brazil,2010,2907265
Brazil,2011,2700540
Brazil,2012,3037534
Brazil,2013,2964538
Brazil,2014,2804070
Brazil,2015,2647504
Brazil,2016,3024466
Brazil,2017,2684508
