,country
0,Angola
1,Angola
2,Angola
3,Angola
4,Angola
5,Angola
6,Angola
7,Angola
8,Angola
9,Angola
10,Angola
11,Angola
12,Angola
13,Angola
14,Angola
15,Angola
16,Angola
17,Angola
18,Angola
19,Angola
20,Angola
21,Angola
22,Angola
23,Angola
24,Angola
25,Angola
26,Angola
27,Angola
28,Angola
29,Angola
30,Angola
31,Angola
32,Angola
33,Angola
34,Angola
35,Angola
36,Angola
37,Angola
38,Angola
39,Angola
40,Angola
41,Angola
42,Angola
43,Angola
44,Angola
45,Angola
46,Angola
47,Angola
48,Angola
49,Angola
50,Angola
51,Angola
52,Angola
53,Angola
54,Angola
55,Angola
56,Angola
57,Angola
95,Belize
96,Belize
97,Belize
98,Belize
99,Belize
100,Belize
101,Belize
102,Belize
103,Belize
104,Belize
105,Belize
106,Belize
107,Belize
108,Belize
109,Belize
110,Belize
111,Belize
112,Belize
113,Belize
114,Belize
115,Belize
116,Benin
117,Benin
118,Benin
119,Benin
120,Benin
121,Benin
122,Benin
123,Benin
124,Benin
125,Benin
126,Benin
127,Benin
128,Benin
129,Benin
130,Benin
131,Benin
132,Benin
133,Benin
134,Benin
135,Benin
136,Benin
137,Benin
138,Benin
139,Benin
140,Benin
141,Benin
142,Benin
143,Benin
144,Benin
145,Benin
146,Benin
147,Benin
148,Benin
149,Benin
150,Benin
151,Benin
152,Benin
153,Benin
154,Benin
155,Benin
156,Benin
157,Benin
158,Benin
159,Benin
160,Benin
161,Benin
162,Benin
163,Benin
164,Benin
165,Benin
166,Benin
167,Benin
168,Benin
169,Benin
170,Benin
171,Benin
172,Benin
173,Benin
174,Bolivia (Plurinational State of)
175,Bolivia (Plurinational State of)
176,Bolivia (Plurinational State of)
177,Bolivia (Plurinational State of)
178,Bolivia (Plurinational State of)
179,Bolivia (Plurinational State of)
180,Bolivia (Plurinational State of)
181,Bolivia (Plurinational State of)
182,Bolivia (Plurinational State of)
183,Bolivia (Plurinational State of)
184,Bolivia (Plurinational State of)
185,Bolivia (Plurinational State of)
186,Bolivia (Plurinational State of)
187,Bolivia (Plurinational State of)
188,Bolivia (Plurinational State of)
189,Bolivia (Plurinational State of)
190,Bolivia (Plurinational State of)
191,Bolivia (Plurinational State of)
192,Bolivia (Plurinational State of)
193,Bolivia (Plurinational State of)
194,Bolivia (Plurinational State of)
195,Bolivia (Plurinational State of)
196,Bolivia (Plurinational State of)
197,Bolivia (Plurinational State of)
198,Bolivia (Plurinational State of)
199,Bolivia (Plurinational State of)
200,Bolivia (Plurinational State of)
201,Bolivia (Plurinational State of)
202,Bolivia (Plurinational State of)
203,Bolivia (Plurinational State of)
204,Bolivia (Plurinational State of)
205,Bolivia (Plurinational State of)
206,Bolivia (Plurinational State of)
207,Bolivia (Plurinational State of)
208,Bolivia (Plurinational State of)
209,Bolivia (Plurinational State of)
210,Bolivia (Plurinational State of)
211,Bolivia (Plurinational State of)
212,Bolivia (Plurinational State of)
213,Bolivia (Plurinational State of)
214,Bolivia (Plurinational State of)
215,Bolivia (Plurinational State of)
216,Bolivia (Plurinational State of)
217,Bolivia (Plurinational State of)
218,Bolivia (Plurinational State of)
219,Bolivia (Plurinational State of)
220,Bolivia (Plurinational State of)
221,Bolivia (Plurinational State of)
222,Bolivia (Plurinational State of)
223,Bolivia (Plurinational State of)
224,Bolivia (Plurinational State of)
225,Bolivia (Plurinational State of)
226,Bolivia (Plurinational State of)
227,Bolivia (Plurinational State of)
228,Bolivia (Plurinational State of)
229,Bolivia (Plurinational State of)
230,Bolivia (Plurinational State of)
231,Bolivia (Plurinational State of)
232,Brazil
233,Brazil
234,Brazil
235,Brazil
236,Brazil
237,Brazil
238,Brazil
239,Brazil
240,Brazil
241,Brazil
242,Brazil
243,Brazil
244,Brazil
245,Brazil
246,Brazil
247,Brazil
248,Brazil
249,Brazil
250,Brazil
251,Brazil
252,Brazil
253,Brazil
254,Brazil
255,Brazil
256,Brazil
257,Brazil
258,Brazil
259,Brazil
260,Brazil
261,Brazil
262,Brazil
263,Brazil
264,Brazil
265,Brazil
266,Brazil
267,Brazil
268,Brazil
269,Brazil
270,Brazil
271,Brazil
272,Brazil
273,Brazil
274,Brazil
275,Brazil
276,Brazil
277,Brazil
278,Brazil
279,Brazil
280,Brazil
281,Brazil
282,Brazil
283,Brazil
284,Brazil
285,Brazil
286,Brazil
287,Brazil
288,Brazil
289,Brazil
290,Burundi
291,Burundi
292,Burundi
293,Burundi
294,Burundi
