Domain,Area,Element,Item,Year,Months,Unit,Value
"Producer Prices","Angola","Producer Price (USD/tonne)","Coffee, green","2010","Annual value","USD","511.4"
"Producer Prices","Angola","Producer Price (USD/tonne)","Coffee, green","2011","Annual value","USD","702.6"
"Producer Prices","Belize","Producer Price (USD/tonne)","Coffee, green","2002","Annual value","USD","1488"
"Producer Prices","Belize","Producer Price (USD/tonne)","Coffee, green","2003","Annual value","USD","1488"
"Producer Prices","Bolivia (Plurinational State of)","Producer Price (USD/tonne)","Coffee, green","1991","Annual value","USD","600.5"
"Producer Prices","Bolivia (Plurinational State of)","Producer Price (USD/tonne)","Coffee, green","1992","Annual value","USD","449.7"
"Producer Prices","Bolivia (Plurinational State of)","Producer Price (USD/tonne)","Coffee, green","1993","Annual value","USD","494"
"Producer Prices","Bolivia (Plurinational State of)","Producer Price (USD/tonne)","Coffee, green","1994","Annual value","USD","953.8"
"Producer Prices","Bolivia (Plurinational State of)","Producer Price (USD/tonne)","Coffee, green","1995","Annual value","USD","975.1"
"Producer Prices","Bolivia (Plurinational State of)","Producer Price (USD/tonne)","Coffee, green","1996","Annual value","USD","990.6"
"Producer Prices","Bolivia (Plurinational State of)","Producer Price (USD/tonne)","Coffee, green","1997","Annual value","USD","1001.7"
"Producer Prices","Bolivia (Plurinational State of)","Producer Price (USD/tonne)","Coffee, green","1998","Annual value","USD","987.3"
"Producer Prices","Bolivia (Plurinational State of)","Producer Price (USD/tonne)","Coffee, green","1999","Annual value","USD","970"
"Producer Prices","Bolivia (Plurinational State of)","Producer Price (USD/tonne)","Coffee, green","2000","Annual value","USD","916.6"
"Producer Prices","Bolivia (Plurinational State of)","Producer Price (USD/tonne)","Coffee, green","2001","Annual value","USD","869.8"
"Producer Prices","Bolivia (Plurinational State of)","Producer Price (USD/tonne)","Coffee, green","2002","Annual value","USD","805.2"
"Producer Prices","Bolivia (Plurinational State of)","Producer Price (USD/tonne)","Coffee, green","2003","Annual value","USD","750.6"
"Producer Prices","Bolivia (Plurinational State of)","Producer Price (USD/tonne)","Coffee, green","2004","Annual value","USD","769.5"
"Producer Prices","Bolivia (Plurinational State of)","Producer Price (USD/tonne)","Coffee, green","2005","Annual value","USD","784.3"
"Producer Prices","Bolivia (Plurinational State of)","Producer Price (USD/tonne)","Coffee, green","2006","Annual value","USD","958.5"
"Producer Prices","Bolivia (Plurinational State of)","Producer Price (USD/tonne)","Coffee, green","2007","Annual value","USD","943.2"
"Producer Prices","Bolivia (Plurinational State of)","Producer Price (USD/tonne)","Coffee, green","2008","Annual value","USD","1354.6"
"Producer Prices","Bolivia (Plurinational State of)","Producer Price (USD/tonne)","Coffee, green","2009","Annual value","USD","1173"
