,country,Year,population,rural_population,coffee_production_tonnes,rural_pop_percent,total_pop_percent
232,Brazil,1961,74311343.0,39316029.0,2228704.0,52.90717057825209,47.09282942174791
747,Colombia,1961,16567811.000000002,8881334.0,450000.0,53.60595916986257,46.39404083013743
2108,Indonesia,1961,90098394.0,76779144.0,103100.0,85.21699509982386,14.783004900176138
4518,Viet Nam,1961,33666110.0,28606192.0,4100.0,84.97029208304731,15.029707916952688
233,Brazil,1962,76514328.0,39742210.0,2190303.0,51.94087308719486,48.05912691280514
748,Colombia,1962,17092918.0,8900146.0,482100.0,52.069201993480576,47.930798006519424
2109,Indonesia,1962,92518377.0,78620253.0,106700.0,84.97798550876006,15.022014491239943
4519,Viet Nam,1962,34683407.0,29353433.0,4020.0,84.63249587908132,15.367504120918682
234,Brazil,1963,78772657.0,40154003.0,1650527.0,50.97454437775281,49.02545562224719
749,Colombia,1963,17629979.0,8911456.0,450000.0,50.54717308511826,49.45282691488174
2110,Indonesia,1963,95015297.0,80513176.0,139600.0,84.73706712720164,15.262932872798359
4520,Viet Nam,1963,35721217.0,30108893.0,4500.0,84.28854201691952,15.711457983080479
235,Brazil,1964,81064571.0,40536383.0,1042013.0,50.00505461257545,49.99494538742455
750,Colombia,1964,18175185.0,8914419.0,468000.0,49.04719814406291,50.95280185593709
2111,Indonesia,1964,97596733.0,82462231.0,118200.0,84.49281903729297,15.507180962707025
4521,Viet Nam,1964,36779999.0,30872334.0,5500.0,83.93783262473715,16.062167375262845
236,Brazil,1965,83373530.0,40882852.0,2294047.0,49.03576950622098,50.96423049377902
751,Colombia,1965,18725245.0,9032315.0,492000.0,48.23603109064795,51.76396890935205
2112,Indonesia,1965,100267062.0,84470724.0,134500.0,84.24573565344919,15.754264346550812
4522,Viet Nam,1965,37858951.0,31643158.0,7500.0,83.58170832572725,16.41829167427275
237,Brazil,1966,85696505.0,41188267.0,1202868.0,48.062948424792815,51.937051575207185
752,Colombia,1966,19279740.0,9153356.0,492000.0,47.47655310704397,52.52344689295603
2113,Indonesia,1966,103025426.0,86535979.0,142200.0,83.99477911404122,16.005220885958778
4523,Viet Nam,1966,38958048.0,32420527.0,6300.0,83.21907452858007,16.780925471419934
238,Brazil,1967,88035814.0,41455727.0,1507500.0,47.0896162782115,52.9103837217885
753,Colombia,1967,19837510.0,9271667.0,456000.0,46.73805835510606,53.26194164489394
2114,Indonesia,1967,105865571.0,88652359.0,153478.0,83.74050048811431,16.259499511885693
4524,Viet Nam,1967,40072948.0,33200648.999999996,7000.0,82.8505279921008,17.149472007899206
239,Brazil,1968,90387079.0,41683617.0,1057700.0,46.11678733417195,53.88321266582805
754,Colombia,1968,20393699.0,9382851.0,480000.0,46.00857843395649,53.99142156604351
2115,Indonesia,1968,108779924.0,90812329.0,157347.0,83.48261853906057,16.517381460939433
4525,Viet Nam,1968,41193601.0,33974431.0,6000.0,82.47502081694678,17.52497918305322
240,Brazil,1969,92746614.0,41876171.0,1283500.0,45.1511588336799,54.8488411663201
755,Colombia,1969,20942456.0,9482484.0,474000.0,45.278758136103995,54.721241863896005
2116,Indonesia,1969,111758563.0,93008073.0,173613.0,83.22232364422939,16.77767635577061
4526,Viet Nam,1969,42307146.0,34731487.0,6500.0,82.0936656894795,17.906334310520506
241,Brazil,1970,95113265.0,42030911.0,754800.0,44.19037765131919,55.80962234868081
756,Colombia,1970,21480065.0,9566814.0,507000.0,44.53810544800493,55.46189455199507
2117,Indonesia,1970,114793178.0,95230821.0,185091.0,82.95860665169494,17.041393348305064
4527,Viet Nam,1970,43404793.0,35463753.0,7300.0,81.7046933042625,18.295306695737494
242,Brazil,1971,97482920.0,42127432.0,1551462.0,43.21519297944707,56.78480702055293
757,Colombia,1971,22003980.0,9634888.0,468000.0,43.78702398384292,56.21297601615708
2118,Indonesia,1971,117880144.0,97477201.0,180916.0,82.69178989126446,17.308210108735537
4528,Viet Nam,1971,44484035.0,36302425.0,6500.0,81.60776107653004,18.39223892346996
243,Brazil,1972,99859383.0,42181714.0,1495705.0,42.24111218472079,57.75888781527921
758,Colombia,1972,22516425.0,9688521.0,432000.0,43.028682395184845,56.971317604815155
2119,Indonesia,1972,121017314.0,99536941.0,178735.0,82.25016545979528,17.749834540204716
4529,Viet Nam,1972,45548479.0,37126532.0,7000.0,81.50992703839792,18.49007296160208
244,Brazil,1973,102259497.0,42208280.0,872897.0,41.27565775137736,58.72434224862264
759,Colombia,1973,23024517.0,9732556.0,528000.0,42.27040245838816,57.72959754161184
2120,Indonesia,1973,124199687.0,101530866.0,150163.0,81.7480852427591,18.251914757240897
4530,Viet Nam,1973,46603525.0,37941752.0,6600.0,81.41391021387331,18.586089786126692
245,Brazil,1974,104706198.0,42210903.0,1615309.0,40.313662234206994,59.686337765793006
760,Colombia,1974,23538386.0,9778457.0,470000.0,41.54259769552594,58.45740230447406
2121,Indonesia,1974,127422211.0,103510661.0,149811.0,81.2343940570926,18.7656059429074
4531,Viet Nam,1974,47657561.0,38756159.0,6000.0,81.32216208043043,18.67783791956957
246,Brazil,1975,107216205.0,42196105.0,1272298.0,39.356088941965446,60.643911058034554
761,Colombia,1975,24065507.0,9826962.0,513200.0,40.83421969875806,59.16578030124194
2122,Indonesia,1975,130680727.0,105472019.0,170372.0,80.7096971537356,19.290302846264396
4532,Viet Nam,1975,48718189.0,39576916.0,6800.0,81.23642691233863,18.76357308766137
762,Colombia,1976,24608113.0,9875420.0,483000.0,40.130748749406344,59.869251250593656
247,Brazil,1976,109790938.0,42162343.0,375985.0,38.402388911186826,61.597611088813174
2123,Indonesia,1976,133966940.99999999,107405621.0,193377.0,80.17322796076982,19.82677203923018
4533,Viet Nam,1976,49785282.0,40404308.0,9700.0,81.15713394974844,18.84286605025156
248,Brazil,1977,112425392.0,42112005.0,975385.0,37.457734637029326,62.542265362970674
763,Colombia,1977,25164545.0,9923490.0,639420.0,39.434410596337024,60.565589403662976
2124,Indonesia,1977,137278058.0,109310622.0,193966.0,79.62716226652915,20.372837733470845
4534,Viet Nam,1977,50861162.0,41239864.0,5600.0,81.08321237332329,18.916787626676708
249,Brazil,1978,115121153.0,42041120.0,1267661.0,36.51902270297796,63.48097729702204
764,Colombia,1978,25733673.0,9970284.0,683220.0,38.74411554075471,61.25588445924529
2125,Indonesia,1978,140621730.0,111188385.0,222690.0,79.06913462094371,20.930865379056286
4535,Viet Nam,1978,51959015.0,42092711.0,5400.0,81.01137213628857,18.98862786371143
250,Brazil,1979,117878411.0,41951126.0,1332772.0,35.58847259995726,64.41152740004274
765,Colombia,1979,26312994.0,10015503.0,713340.0,38.06295475155735,61.93704524844265
2126,Indonesia,1979,144009845.0,113047351.0,273675.0,78.49973798666335,21.500262013336652
4536,Viet Nam,1979,53095408.0,42974367.0,5100.0,80.93801068446447,19.061989315535527
251,Brazil,1980,120694009.0,41839482.0,1061195.0,34.66574881939666,65.33425118060333
766,Colombia,1980,26900506.0,10058296.0,724380.0,37.39073160928646,62.60926839071354
2127,Indonesia,1980,147447836.0,114888558.0,294973.0,77.9181038642032,22.081896135796796
4537,Viet Nam,1980,54281846.0,43907532.0,8400.0,80.88805970231742,19.11194029768258
252,Brazil,1981,123570327.0,41711506.0,2032210.0,33.755276863514325,66.24472313648567
