Domain,Area,Element,Item,Year,Value
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","1970","370.230772"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","1971","403.474451"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","1972","506.951271"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","1973","700.890162"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","1974","877.578983"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","1975","1007.789903"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","1976","1163.496477"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","1977","1322.403585"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","1978","1466.310486"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","1979","1578.705727"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","1980","1452.796696"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","1981","1807.266044"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","1982","1933.433409"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","1983","1330.210022"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","1984","1322.343901"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","1985","1385.777475"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","1986","1631.993366"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","1987","1753.895106"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","1988","1921.934431"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","1989","2566.044433"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","1990","2730.793363"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","1991","2496.447743"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","1992","2350.885274"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","1993","2594.440491"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","1994","3640.99903"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","1995","4802.205413"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","1996","5161.278889"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","1997","5271.918047"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","1998","5028.795819"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","1999","3447.515982"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","2000","3732.243398"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","2001","3164.555648"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","2002","2851.939429"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","2003","3074.222896"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","2004","3637.313851"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","2005","4790.456694"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","2006","5886.391428"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","2007","7348.18804"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","2008","8831.183643"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","2009","8597.794202"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","2010","11286.071656"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","2011","13245.387705"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","2012","12370.22282"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","2013","12300.386223"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","2014","12112.835254"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","2015","8813.989375"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","2016","8710.063417"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","2017","9928.675992"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","2018","9151.381601"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","2019","8936.360101"
"Macro Indicators","Brazil","Value US$ per capita","Gross Domestic Product","2020","6796.844058"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","1970","471.458856"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","1971","499.500124"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","1972","541.942994"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","1973","627.025734"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","1974","737.05129"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","1975","764.111291"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","1976","875.067499"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","1977","1086.511938"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","1978","1268.839054"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","1979","1491.337674"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","1980","1743.424119"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","1981","1858.591418"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","1982","1947.113692"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","1983","1894.125502"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","1984","1831.665237"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","1985","1636.11429"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","1986","1605.041663"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","1987","1637.314871"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","1988","1730.367946"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","1989","1710.766307"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","1990","1708.538982"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","1991","1715.54809"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","1992","1800.756974"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","1993","2044.554704"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","1994","2648.08788"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","1995","3008.659625"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","1996","3103.905387"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","1997","3349.693546"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","1998","3041.873563"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","1999","2621.400177"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","2000","2503.923213"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","2001","2423.917244"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","2002","2381.140889"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","2003","2266.660132"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","2004","2764.64246"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","2005","3414.465833"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","2006","3741.093171"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","2007","4714.072541"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","2008","5472.536133"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","2009","5193.241451"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","2010","6336.709214"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","2011","7335.166893"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","2012","8050.255841"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","2013","8218.347548"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","2014","8114.345453"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","2015","6175.876132"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","2016","5870.777521"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","2017","6376.707362"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","2018","6729.584484"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","2019","6424.979431"
"Macro Indicators","Colombia","Value US$ per capita","Gross Domestic Product","2020","5332.77279"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","1970","90.492879"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","1971","92.529764"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","1972","105.783831"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","1973","152.511785"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","1974","235.727091"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","1975","271.407745"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","1976","323.928764"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","1977","388.612834"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","1978","426.209909"
"Macro Indicators","Indonesia","Value US$ per capita","Gross Domestic Product","1979","415.791213"
