Domain,Area,Element,Item,Year,Value
"Macro Indicators","Brazil","Value US$ per capita","Gross National Income","1970","364.941761"
"Macro Indicators","Brazil","Value US$ per capita","Gross National Income","1971","398.991401"
"Macro Indicators","Brazil","Value US$ per capita","Gross National Income","1972","503.051646"
"Macro Indicators","Brazil","Value US$ per capita","Gross National Income","1973","693.512371"
"Macro Indicators","Brazil","Value US$ per capita","Gross National Income","1974","871.078398"
"Macro Indicators","Brazil","Value US$ per capita","Gross National Income","1975","994.52951"
"Macro Indicators","Brazil","Value US$ per capita","Gross National Income","1976","1145.748225"
"Macro Indicators","Brazil","Value US$ per capita","Gross National Income","1977","1300.605724"
"Macro Indicators","Brazil","Value US$ per capita","Gross National Income","1978","1110.841278"
"Macro Indicators","Brazil","Value US$ per capita","Gross National Income","1979","1455.028319"
"Macro Indicators","Brazil","Value US$ per capita","Gross National Income","1980","1452.796696"
"Macro Indicators","Brazil","Value US$ per capita","Gross National Income","1981","1807.266044"
"Macro Indicators","Brazil","Value US$ per capita","Gross National Income","1982","1729.914103"
"Macro Indicators","Brazil","Value US$ per capita","Gross National Income","1983","1237.404671"
"Macro Indicators","Brazil","Value US$ per capita","Gross National Income","1984","1246.781392"
"Macro Indicators","Brazil","Value US$ per capita","Gross National Income","1985","1311.391805"
"Macro Indicators","Brazil","Value US$ per capita","Gross National Income","1986","1558.480151"
"Macro Indicators","Brazil","Value US$ per capita","Gross National Income","1987","1687.836602"
"Macro Indicators","Brazil","Value US$ per capita","Gross National Income","1988","1845.71683"
"Macro Indicators","Brazil","Value US$ per capita","Gross National Income","1989","2488.286862"
"Macro Indicators","Brazil","Value US$ per capita","Gross National Income","1990","2773.526451"
"Macro Indicators","Brazil","Value US$ per capita","Gross National Income","1991","2401.239315"
"Macro Indicators","Brazil","Value US$ per capita","Gross National Income","1992","2318.1232"
"Macro Indicators","Brazil","Value US$ per capita","Gross National Income","1993","2541.437417"
"Macro Indicators","Brazil","Value US$ per capita","Gross National Income","1994","3596.799708"
"Macro Indicators","Brazil","Value US$ per capita","Gross National Income","1995","4749.792975"
"Macro Indicators","Brazil","Value US$ per capita","Gross National Income","1996","5104.440897"
"Macro Indicators","Brazil","Value US$ per capita","Gross National Income","1997","5192.285728"
"Macro Indicators","Brazil","Value US$ per capita","Gross National Income","1998","4937.066819"
"Macro Indicators","Brazil","Value US$ per capita","Gross National Income","1999","3348.875552"
"Macro Indicators","Brazil","Value US$ per capita","Gross National Income","2000","3641.918988"
"Macro Indicators","Brazil","Value US$ per capita","Gross National Income","2001","3057.641597"
"Macro Indicators","Brazil","Value US$ per capita","Gross National Income","2002","2744.23201"
"Macro Indicators","Brazil","Value US$ per capita","Gross National Income","2003","2972.997935"
"Macro Indicators","Brazil","Value US$ per capita","Gross National Income","2004","3529.854142"
"Macro Indicators","Brazil","Value US$ per capita","Gross National Income","2005","4651.981251"
"Macro Indicators","Brazil","Value US$ per capita","Gross National Income","2006","5739.091572"
"Macro Indicators","Brazil","Value US$ per capita","Gross National Income","2007","7192.106365"
"Macro Indicators","Brazil","Value US$ per capita","Gross National Income","2008","8614.639856"
"Macro Indicators","Brazil","Value US$ per capita","Gross National Income","2009","8407.5467"
"Macro Indicators","Brazil","Value US$ per capita","Gross National Income","2010","10937.442416"
"Macro Indicators","Brazil","Value US$ per capita","Gross National Income","2011","12905.021413"
"Macro Indicators","Brazil","Value US$ per capita","Gross National Income","2012","12061.580943"
"Macro Indicators","Brazil","Value US$ per capita","Gross National Income","2013","12129.470244"
"Macro Indicators","Brazil","Value US$ per capita","Gross National Income","2014","11887.120521"
"Macro Indicators","Brazil","Value US$ per capita","Gross National Income","2015","8648.137185"
