Domain,Area,Element,Item,Year,Value
"Macro Indicators","Colombia","Value Local Currency","Gross Output (Agriculture)","2005","37664000"
"Macro Indicators","Colombia","Value Local Currency","Gross Output (Agriculture)","2006","40449000"
"Macro Indicators","Colombia","Value Local Currency","Gross Output (Agriculture)","2007","43992000"
"Macro Indicators","Colombia","Value Local Currency","Gross Output (Agriculture)","2008","48362000"
"Macro Indicators","Colombia","Value Local Currency","Gross Output (Agriculture)","2009","49389000"
"Macro Indicators","Colombia","Value Local Currency","Gross Output (Agriculture)","2010","50659000"
"Macro Indicators","Colombia","Value Local Currency","Gross Output (Agriculture)","2011","56047000"
"Macro Indicators","Colombia","Value Local Currency","Gross Output (Agriculture)","2012","56465000"
"Macro Indicators","Colombia","Value Local Currency","Gross Output (Agriculture)","2013","58773000"
"Macro Indicators","Colombia","Value Local Currency","Gross Output (Agriculture)","2014","63087000"
"Macro Indicators","Colombia","Value Local Currency","Gross Output (Agriculture)","2015","72852000"
"Macro Indicators","Colombia","Value Local Currency","Gross Output (Agriculture)","2016","84625000"
"Macro Indicators","Colombia","Value Local Currency","Gross Output (Agriculture)","2017","87730000"
"Macro Indicators","Colombia","Value Local Currency","Gross Output (Agriculture)","2018","91768000"
"Macro Indicators","Colombia","Value Local Currency","Gross Output (Agriculture)","2019","100269000"
