Domain,Area,Element,Item,Year,Unit,Value
"Value of Agricultural Production","Brazil","Gross Production Value (current thousand US$)","Coffee, green","1991","1000 US$","428936"
"Value of Agricultural Production","Brazil","Gross Production Value (current thousand US$)","Coffee, green","1992","1000 US$","381539"
"Value of Agricultural Production","Brazil","Gross Production Value (current thousand US$)","Coffee, green","1993","1000 US$","532799"
"Value of Agricultural Production","Brazil","Gross Production Value (current thousand US$)","Coffee, green","1994","1000 US$","1648124"
"Value of Agricultural Production","Brazil","Gross Production Value (current thousand US$)","Coffee, green","1995","1000 US$","1042943"
"Value of Agricultural Production","Brazil","Gross Production Value (current thousand US$)","Coffee, green","1996","1000 US$","1276427"
"Value of Agricultural Production","Brazil","Gross Production Value (current thousand US$)","Coffee, green","1997","1000 US$","1536211"
"Value of Agricultural Production","Brazil","Gross Production Value (current thousand US$)","Coffee, green","1998","1000 US$","1831299"
"Value of Agricultural Production","Brazil","Gross Production Value (current thousand US$)","Coffee, green","1999","1000 US$","1183023"
"Value of Agricultural Production","Brazil","Gross Production Value (current thousand US$)","Coffee, green","2000","1000 US$","1288187"
"Value of Agricultural Production","Brazil","Gross Production Value (current thousand US$)","Coffee, green","2001","1000 US$","696200"
"Value of Agricultural Production","Brazil","Gross Production Value (current thousand US$)","Coffee, green","2002","1000 US$","808973"
"Value of Agricultural Production","Brazil","Gross Production Value (current thousand US$)","Coffee, green","2003","1000 US$","855523"
"Value of Agricultural Production","Brazil","Gross Production Value (current thousand US$)","Coffee, green","2004","1000 US$","1256668"
"Value of Agricultural Production","Brazil","Gross Production Value (current thousand US$)","Coffee, green","2005","1000 US$","1627105"
"Value of Agricultural Production","Brazil","Gross Production Value (current thousand US$)","Coffee, green","2006","1000 US$","2074144"
"Value of Agricultural Production","Brazil","Gross Production Value (current thousand US$)","Coffee, green","2007","1000 US$","2657555"
"Value of Agricultural Production","Brazil","Gross Production Value (current thousand US$)","Coffee, green","2008","1000 US$","4370942"
"Value of Agricultural Production","Brazil","Gross Production Value (current thousand US$)","Coffee, green","2009","1000 US$","4644576"
"Value of Agricultural Production","Brazil","Gross Production Value (current thousand US$)","Coffee, green","2010","1000 US$","7187515"
"Value of Agricultural Production","Brazil","Gross Production Value (current thousand US$)","Coffee, green","2011","1000 US$","10855381"
"Value of Agricultural Production","Brazil","Gross Production Value (current thousand US$)","Coffee, green","2012","1000 US$","9209602"
"Value of Agricultural Production","Brazil","Gross Production Value (current thousand US$)","Coffee, green","2013","1000 US$","6897690"
"Value of Agricultural Production","Brazil","Gross Production Value (current thousand US$)","Coffee, green","2014","1000 US$","7784780"
"Value of Agricultural Production","Brazil","Gross Production Value (current thousand US$)","Coffee, green","2015","1000 US$","5620246"
"Value of Agricultural Production","Brazil","Gross Production Value (current thousand US$)","Coffee, green","2016","1000 US$","6757035"
"Value of Agricultural Production","Brazil","Gross Production Value (current thousand US$)","Coffee, green","2017","1000 US$","5288440"
"Value of Agricultural Production","Brazil","Gross Production Value (current thousand US$)","Coffee, green","2018","1000 US$","6191563"
"Value of Agricultural Production","Brazil","Gross Production Value (current thousand US$)","Coffee, green","2019","1000 US$","4475573"
"Value of Agricultural Production","Brazil","Gross Production Value (current thousand US$)","Coffee, green","2020","1000 US$","5286758"
"Value of Agricultural Production","Colombia","Gross Production Value (current thousand US$)","Coffee, green","1991","1000 US$","1170313"
"Value of Agricultural Production","Colombia","Gross Production Value (current thousand US$)","Coffee, green","1992","1000 US$","1080503"
