"","","","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"","","","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value"
"Afghanistan","Total Population - Both sexes","Population - Est. & Proj.","9169.41","9351.441","9543.205","9744.781","9956.32","10174.836","10399.926","10637.063","10893.776","11173.642","11475.445","11791.215","12108.963","12412.95","12689.16","12943.093","13171.306","13341.198","13411.056","13356.511","13171.673","12882.528","12537.73","12204.292","11938.208","11736.179","11604.534","11618.005","11868.877","12412.308","13299.017","14485.546","15816.603","17075.727","18110.657","18853.437","19357.126","19737.765","20170.844","20779.953","21606.988","22600.77","23680.871","24726.684","25654.277","26433.049","27100.536","27722.276","28394.813","29185.507","30117.413","31161.376","32269.589","33370.794","34413.603","35383.032","36296.113","37171.921"
"Albania","Total Population - Both sexes","Population - Est. & Proj.","1685.936","1737.686","1790.573","1843.634","1896.171","1947.83","1998.74","2049.21","2099.729","2150.707","2202.189","2254.056","2306.29","2358.846","2411.732","2464.983","2518.685","2572.85","2627.505","2682.69","2737.026","2790.275","2844.871","2904.14","2969.672","3044.212","3124.894","3200.977","3257.925","3286.073","3280.395","3245.886","3195.199","3146.519","3112.936","3098.7","3099.752","3110.682","3122.697","3129.243","3129.704","3126.187","3118.023","3104.892","3086.81","3063.021","3033.998","3002.678","2973.048","2948.023","2928.592","2914.096","2903.79","2896.305","2890.513","2886.438","2884.169","2882.74"
"Algeria","Total Population - Both sexes","Population - Est. & Proj.","11336.339","11619.828","11912.803","12221.675","12550.885","12902.627","13275.026","13663.583","14061.722","14464.985","14872.25","15285.99","15709.825","16149.025","16607.707","17085.801","17582.904","18102.266","18647.815","19221.665","19824.301","20452.902","21101.875","21763.575","22431.502","23102.389","23774.284","24443.467","25106.19","25758.869","26400.479","27028.326","27635.515","28213.774","28757.785","29266.405","29742.979","30192.754","30623.406","31042.235","31451.514","31855.109","32264.157","32692.163","33149.724","33641.002","34166.972","34730.608","35333.881","35977.455","36661.445","37383.895","38140.133","38923.692","39728.025","40551.392","41389.189","42228.408"
"American Samoa","Total Population - Both sexes","Population - Est. & Proj.","20.602","21.253","22.034","22.854","23.672","24.462","25.248","25.989","26.703","27.363","27.984","28.567","29.1","29.596","30.052","30.456","30.838","31.269","31.845","32.646","33.701","34.968","36.412","37.946","39.519","41.119","42.74","44.343","45.894","47.347","48.685","49.896","51.02","52.095","53.161","54.211","55.221","56.171","57.053","57.821","58.494","59.08","59.504","59.681","59.562","59.107","58.365","57.492","56.683","56.079","55.759","55.667","55.713","55.791","55.812","55.741","55.62","55.465"
"Andorra","Total Population - Both sexes","Population - Est. & Proj.","14.375","15.37","16.412","17.469","18.549","19.647","20.758","21.89","23.058","24.276","25.559","26.892","28.232","29.52","30.705","31.777","32.771","33.737","34.818","36.067","37.5","39.114","40.867","42.706","44.6","46.517","48.455","50.434","52.448","54.509","56.671","58.888","60.971","62.677","63.85","64.36","64.327","64.142","64.37","65.39","67.341","70.049","73.182","76.244","78.867","80.993","82.684","83.862","84.463","84.449","83.747","82.427","80.774","79.213","78.011","77.297","77.001","77.006"
"Angola","Total Population - Both sexes","Population - Est. & Proj.","5531.472","5608.539","5679.458","5735.044","5770.57","5781.214","5774.243","5771.652","5803.254","5890.365","6040.777","6248.552","6496.962","6761.38","7024","7279.509","7533.735","7790.707","8058.067","8341.289","8640.446","8952.95","9278.096","9614.754","9961.997","10320.111","10689.25","11068.05","11454.777","11848.386","12248.901","12657.366","13075.049","13503.747","13945.206","14400.719","14871.57","15359.601","15866.869","16395.473","16945.753","17519.417","18121.479","18758.145","19433.602","20149.901","20905.363","21695.634","22514.281","23356.246","24220.661","25107.931","26015.781","26941.779","27884.381","28842.489","29816.766","30809.787"
"Anguilla","Total Population - Both sexes","Population - Est. & Proj.","6.089","6.144","6.211","6.287","6.361","6.438","6.52","6.602","6.68","6.771","6.858","6.948","7.028","7.102","7.159","7.206","7.255","7.284","7.292","7.285","7.247","7.19","7.153","7.173","7.293","7.518","7.842","8.213","8.582","8.899","9.135","9.332","9.493","9.664","9.866","10.117","10.388","10.684","10.971","11.252","11.515","11.761","12.001","12.233","12.453","12.661","12.868","13.063","13.258","13.438","13.62","13.795","13.954","14.112","14.279","14.429","14.584","14.731"
"Antigua and Barbuda","Total Population - Both sexes","Population - Est. & Proj.","55.001","55.841","56.702","57.641","58.698","59.915","61.241","62.521","63.55","64.177","64.357","64.133","63.65","63.12","62.675","62.367","62.159","62.036","61.952","61.865","61.8","61.779","61.787","61.786","61.786","61.754","61.717","61.771","62.008","62.528","63.367","64.471","65.777","67.204","68.67","70.173","71.704","73.224","74.674","76.016","77.212","78.295","79.3","80.336","81.465","82.704","84.026","85.397","86.746","88.028","89.253","90.409","91.516","92.562","93.566","94.527","95.426","96.286"
"Argentina","Total Population - Both sexes","Population - Est. & Proj.","20817.266","21153.052","21488.912","21824.425","22159.65","22494.035","22828.869","23168.267","23517.611","23880.561","24259.561","24653.175","25056.478","25462.302","25865.776","26264.681","26661.398","27061.047","27471.036","27896.528","28338.515","28794.548","29262.047","29737.093","30216.279","30698.964","31184.415","31668.949","32148.134","32618.651","33079","33529.326","33970.111","34402.672","34828.17","35246.374","35657.429","36063.459","36467.218","36870.787","37275.652","37681.749","38087.868","38491.972","38892.931","39289.878","39684.295","40080.16","40482.788","40895.752","41320.5","41755.196","42196.03","42637.511","43075.416","43508.46","43937.14","44361.15"
"Armenia","Total Population - Both sexes","Population - Est. & Proj.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3442.817","3363.108","3283.667","3217.348","3168.221","3133.089","3108.687","3089.022","3069.591","3050.687","3033.978","3017.932","3000.72","2981.269","2958.307","2932.618","2907.618","2888.092","2877.319","2876.538","2884.234","2897.588","2912.409","2925.553","2936.143","2944.791","2951.745"
"Aruba","Total Population - Both sexes","Population - Est. & Proj.","55.438","56.225","56.695","57.032","57.36","57.715","58.055","58.386","58.726","59.063","59.44","59.84","60.243","60.528","60.657","60.586","60.366","60.103","59.98","60.096","60.567","61.345","62.201","62.836","63.026","62.644","61.833","61.079","61.032","62.149","64.622","68.235","72.504","76.7","80.324","83.2","85.451","87.277","89.005","90.853","92.898","94.992","97.017","98.737","100.031","100.834","101.222","101.358","101.455","101.669","102.046","102.56","103.159","103.774","104.341","104.872","105.366","105.845"
