Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Brazil","Export Quantity","Coffee, roasted","1961","tonnes","0"
"Crops and livestock products","Brazil","Export Quantity","Coffee, roasted","1962","tonnes","0"
"Crops and livestock products","Brazil","Export Quantity","Coffee, roasted","1963","tonnes","0"
"Crops and livestock products","Brazil","Export Quantity","Coffee, roasted","1964","tonnes","0"
"Crops and livestock products","Brazil","Export Quantity","Coffee, roasted","1965","tonnes","0"
"Crops and livestock products","Brazil","Export Quantity","Coffee, roasted","1966","tonnes","0"
"Crops and livestock products","Brazil","Export Quantity","Coffee, roasted","1967","tonnes","0"
"Crops and livestock products","Brazil","Export Quantity","Coffee, roasted","1968","tonnes","0"
"Crops and livestock products","Brazil","Export Quantity","Coffee, roasted","1969","tonnes","0"
"Crops and livestock products","Brazil","Export Quantity","Coffee, roasted","1970","tonnes","0"
"Crops and livestock products","Brazil","Export Quantity","Coffee, roasted","1971","tonnes","0"
"Crops and livestock products","Brazil","Export Quantity","Coffee, roasted","1972","tonnes","0"
"Crops and livestock products","Brazil","Export Quantity","Coffee, roasted","1973","tonnes","0"
"Crops and livestock products","Brazil","Export Quantity","Coffee, roasted","1974","tonnes","0"
"Crops and livestock products","Brazil","Export Quantity","Coffee, roasted","1975","tonnes","0"
"Crops and livestock products","Brazil","Export Quantity","Coffee, roasted","1976","tonnes","0"
"Crops and livestock products","Brazil","Export Quantity","Coffee, roasted","1977","tonnes","0"
"Crops and livestock products","Brazil","Export Quantity","Coffee, roasted","1978","tonnes","0"
"Crops and livestock products","Brazil","Export Quantity","Coffee, roasted","1979","tonnes","0"
"Crops and livestock products","Brazil","Export Quantity","Coffee, roasted","1980","tonnes","0"
"Crops and livestock products","Brazil","Export Quantity","Coffee, roasted","1981","tonnes","0"
"Crops and livestock products","Brazil","Export Quantity","Coffee, roasted","1982","tonnes","0"
"Crops and livestock products","Brazil","Export Quantity","Coffee, roasted","1983","tonnes","19"
"Crops and livestock products","Brazil","Export Quantity","Coffee, roasted","1984","tonnes","25"
"Crops and livestock products","Brazil","Export Quantity","Coffee, roasted","1985","tonnes","8"
"Crops and livestock products","Brazil","Export Quantity","Coffee, roasted","1986","tonnes","6"
"Crops and livestock products","Brazil","Export Quantity","Coffee, roasted","1987","tonnes","0"
"Crops and livestock products","Brazil","Export Quantity","Coffee, roasted","1988","tonnes","0"
"Crops and livestock products","Brazil","Export Quantity","Coffee, roasted","1989","tonnes","0"
"Crops and livestock products","Brazil","Export Quantity","Coffee, roasted","1990","tonnes","71"
"Crops and livestock products","Brazil","Export Quantity","Coffee, roasted","1991","tonnes","311"
"Crops and livestock products","Brazil","Export Quantity","Coffee, roasted","1992","tonnes","2869"
"Crops and livestock products","Brazil","Export Quantity","Coffee, roasted","1993","tonnes","360"
"Crops and livestock products","Brazil","Export Quantity","Coffee, roasted","1994","tonnes","389"
"Crops and livestock products","Brazil","Export Quantity","Coffee, roasted","1995","tonnes","795"
"Crops and livestock products","Brazil","Export Quantity","Coffee, roasted","1996","tonnes","778"
"Crops and livestock products","Brazil","Export Quantity","Coffee, roasted","1997","tonnes","592"
"Crops and livestock products","Brazil","Export Quantity","Coffee, roasted","1998","tonnes","499"
"Crops and livestock products","Brazil","Export Quantity","Coffee, roasted","1999","tonnes","603"
"Crops and livestock products","Brazil","Export Quantity","Coffee, roasted","2000","tonnes","1127"
"Crops and livestock products","Brazil","Export Quantity","Coffee, roasted","2001","tonnes","3532"
"Crops and livestock products","Brazil","Export Quantity","Coffee, roasted","2002","tonnes","5118"
"Crops and livestock products","Brazil","Export Quantity","Coffee, roasted","2003","tonnes","5462"
