"","","","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"","","","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value","Value"
"Afghanistan","Rural population","Population - Est. & Proj.","8370.731","8507.016","8649.566","8798.496","8954.064","9113.479","9276.202","9446.519","9630.541","9830.69","10045.261","10267.199","10487.151","10692.696","10872.864","11033.148","11170.461","11255.639","11251.885","11129.292","10891.902","10563.504","10190.525","9834.677","9544.582","9321.752","9166.105","9117.52","9293.948","9655.167","10230.49","10995.568","11858.09","12690.115","13401.971","13952.791","14373.573","14733.655","15137.497","15657.474","16318.324","17086.91","17909.063","18692.107","19378.962","19961.972","20464.923","20929.119","21415.593","21966.187","22594.126","23280.663","23997.856","24703.798","25368.923","25985.093","26558.609","27099.874"
"Albania","Rural population","Population - Est. & Proj.","1164.229","1198.718","1233.922","1269.163","1303.967","1338.094","1371.628","1404.776","1437.257","1467.991","1498.85","1529.743","1560.67","1591.577","1622.471","1653.365","1684.337","1715.37","1746.48","1776.005","1804.665","1832.278","1860.451","1891.335","1925.949","1965.997","2009.561","2049.704","2077.214","2086.075","2073.348","2033.508","1983.942","1936.056","1897.862","1871.645","1854.74","1843.604","1832.914","1818.833","1797.423","1762.229","1724.344","1683.584","1640.246","1593.892","1545.166","1496.108","1449.427","1406.665","1368.297","1333.585","1302.236","1272.79","1244.341","1216.737","1190.155","1164.388"
"Algeria","Rural population","Population - Est. & Proj.","7778.402","7807.347","7830.819","7852.062","7873.83","7938.777","8145.491","8360.8","8580.832","8802.831","9026.154","9252.206","9483.118","9721.724","9970.336","10228.73","10449.894","10600.642","10756.471","10917.731","11084.665","11254.255","11423.111","11586.475","11741.505","11885.696","12025.355","12169.977","12300.97","12415.865","12514.727","12596.547","12659.779","12700.801","12718.634","12713.484","12688.632","12645.977","12577.656","12498.847","12411.94","12317.847","12221.443","12127.441","12040.491","11959.903","11885.693","11818.949","11765.339","11723.941","11695.477","11677.502","11664.03","11647.651","11623.281","11589.537","11547.532","11498.038"
"American Samoa","Rural population","Population - Est. & Proj.","6.834","6.954","7.113","7.283","7.448","7.6","7.745","7.876","7.99","8.083","8.156","8.211","8.247","8.266","8.275","8.266","8.249","8.243","8.276","8.332","8.359","8.426","8.523","8.629","8.726","8.818","8.898","8.959","8.999","8.962","8.763","8.535","8.291","8.037","7.782","7.527","7.268","7.006","6.738","6.565","6.695","6.816","6.919","6.994","7.035","7.038","7.006","6.958","6.918","6.902","6.914","6.948","6.997","7.047","7.088","7.118","7.139","7.153"
"Andorra","Rural population","Population - Est. & Proj.","5.609","5.616","5.601","5.554","5.482","5.385","5.264","5.125","4.975","4.818","4.657","4.491","4.315","4.123","3.914","3.692","3.467","3.246","3.044","2.862","2.7","2.553","2.416","2.285","2.159","2.175","2.336","2.508","2.69","2.882","3.1","3.343","3.591","3.83","4.047","4.232","4.387","4.537","4.721","4.973","5.349","5.855","6.435","7.052","7.662","8.256","8.84","9.221","9.365","9.442","9.442","9.371","9.261","9.157","9.093","9.082","9.12","9.187"
"Angola","Rural population","Population - Est. & Proj.","5131.827","5208.822","5285.268","5358.612","5427.632","5491.687","5552.756","5614.898","5683.67","5762.85","5844.414","5927.379","6018.125","6113.891","6212.964","6313.557","6416.307","6523.175","6637.417","6760.09","6892.975","7032.139","7168.478","7290.191","7390.475","7465.255","7518.672","7559.702","7601.294","7650.444","7710.281","7776.001","7839.762","7889.542","7966.516","8024.426","8068.783","8107.209","8150.772","8206.1","8275.248","8353.851","8438.128","8522.221","8603.118","8760.7","8918.911","9077.515","9237.545","9398.277","9559.614","9720.169","9878.943","10033.109","10183.56","10329.86","10472.554","10612.667"
"Anguilla","Rural population","Population - Est. & Proj.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Antigua and Barbuda","Rural population","Population - Est. & Proj.","34.225","35.185","36.249","37.375","38.529","39.71","40.919","42.137","43.339","44.406","45.074","45.672","46.203","46.682","47.106","47.493","47.823","48.058","48.133","48.018","47.713","47.251","46.666","46.013","45.344","44.656","43.975","43.411","43.078","43.068","43.437","44.419","45.663","47.095","48.617","50.225","51.913","53.616","55.244","56.731","58.06","59.439","60.7","61.924","63.175","64.469","65.792","67.134","68.485","69.824","71.116","72.074","73.026","73.984","74.942","75.878","76.802","77.7"
"Argentina","Rural population","Population - Est. & Proj.","5402.243","5371.478","5338.615","5303.2","5265.703","5225.433","5183.196","5140.607","5100.307","5063.093","5038.762","5020.212","5002.824","4983.501","4960.682","4933.725","4903.924","4872.187","4840.473","4809.812","4763.028","4709.051","4655.497","4601.443","4546.891","4491.236","4434.77","4377.279","4319.253","4260.175","4206.419","4192.854","4177.901","4160.961","4141.986","4120.819","4097.995","4073.751","4048.858","4023.693","3998.739","3974.741","3951.197","3927.028","3902.354","3876.846","3850.764","3824.321","3798.178","3772.3","3753.49","3737.979","3722.489","3706.372","3689.407","3671.449","3652.804","3632.997"
"Armenia","Rural population","Population - Est. & Proj.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1140.314","1123.071","1105.535","1092.052","1084.134","1080.782","1081.011","1082.796","1084.598","1086.476","1085.046","1082.281","1079.095","1075.092","1069.827","1063.546","1057.443","1053.182","1051.946","1054.19","1059.405","1065.858","1072.043","1076.799","1079.792","1081.248","1081.275"
